Abandoned Cart Settings,Abandoned Cart Settings
Enable/Disable abandoned cart push notification,Enable/Disable abandoned cart push notification
Title for abandoned cart push notification,Title for abandoned cart push notification
Message for abandoned cart push notification,Message for abandoned cart push notification
Time Interval,Time Interval
Time interval to check Abandoned cart(In Hours),Time interval to check Abandoned cart(In Hours)
Cron Instructions,Cron Instructions
Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below 	the Instruction to add the cron.,Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below the Instruction to add the cron.
URL to Add Cron via Control Panel,URL to Add Cron via Control Panel
Cron setup via SSH,Cron setup via SSH
Preview,Preview
Paypal Mobile,Paypal Mobile
COD Mobile,COD Mobile
Invalid File Format.,Invalid File Format.
File should be less than 2 Mb.,File should be less than 2 Mb.
Please Upload the Image.,Please Upload the Image.
Please Upload Image For Category.,Please Upload Image For Category.
app_text_category_products,Category
app_text_no_internet,Internet Problem
app_text_product_image_viewer,Product Image Viewer
app_text_payment_methods,Payment Methods
app_text_seller_comments,Seller Comment(s)
app_text_home,Home
app_text_category,Categories
app_text_login,Login
app_text_logout,Logout
app_text_login_signup,Login/Sign up
app_text_account,My Account
app_text_contact,Contact Us
app_text_about,About Us
app_text_add_to_wishlist,Add to Wishlist
app_text_add_to_cart,Add to Cart
app_text_off,off
app_text_all,All
app_text_languages,Language(s)
app_text_sort,Sort
app_text_filter,Filter
app_text_sort_order,Select Sort Order
app_text_price_asce,Price: Low to High
app_text_price_desc,Price: High to Low
app_text_product,Product
app_text_select,Select
app_text_instock,In Stock
app_text_outstock,Out of Stock
app_text_product_info,Product Info and Care
app_text_customization,Product Customization
app_text_accessories,Accessories
app_text_view_less,View Less
app_text_view_more,View More
app_text_provide_details,Please provide details
app_text_discount_price,Discount Price
app_text_discount_percentage,Discount Percentage
app_text_rating,Rating *
app_text_bag,Shopping Bag
app_text_apply_voucher,Apply Voucher
app_text_entry_voucher_code,Enter voucher code
app_text_apply,Apply
app_text_gift,Gift Wrap
app_text_entry_message,Enter your message
app_text_available_first,Send available products first
app_text_continue_shopping,Continue Shopping
app_text_continue_checkout,Continue To Checkout
app_text_update_quantity,Update Quantity
app_text_enter_quantity,Enter quantity
app_text_empty_cart,Your shipping cart is empty!
app_text_goto_home,Go to Home Page
app_text_review_your_order,Review Your Order
app_text_add_new_shipping_address,Add New Address
